English	German	Spanish	French	Esperanto	Portuguese	Polish	Russian	Dutch	Italien
Hello!	Hallo!	¡Hola!	salut!	Saluton!	Olá!	Witaj!	Здравствуйте!	Hallo!	Ciao!
How are you?	Wie geht es dir?	¿Cómo estás?	Comment allez-vous?	Kiel vi fartas?	Como você está?	Jak się masz?	Как дела?	Hoe gaat het met je?	Come stai?
This is a table.	Das ist ein Tisch.	Esto es una mesa.	C'est une table.	Jen tablo.	Esta é uma tabela.	To jest stół.	Это стол.	Dit is een tafel.	Questo è un tavolo.
It is a green door.	Es ist eine grüne Tür.	Es una puerta verde.	Il est une porte verte.	Estas verda pordo.	É uma porta verde.	Jest zielone drzwi.	Это зеленая дверь.	Het is een groene deur.	Si tratta di una porta verde.
Now is the time to act.	Jetzt ist die Zeit zu handeln.	Ahora es el momento de actuar.	Il est maintenant temps d'agir.	Nun estas la tempo agi.	Agora é a hora de agir.	Teraz jest czas, aby działać.	Сейчас настало время действовать.	Nu is het tijd om te handelen.	Ora è il momento di agire.
The counter had several salads displayed.	Der Zähler hatte mehr angezeigt Salate.	El mostrador tenía varias ensaladas mostradas.	Le compteur avait plusieurs salades affichées.	La vendotablo havis plurajn salatojn montriĝas.	O contador tinha várias saladas exibidos.	Licznik miał kilka sałatki wyświetlany.	Счетчик имел несколько салатов отображенных.	De teller had verschillende salades weergegeven.	Il contatore aveva diverse insalate visualizzati.
He sold merely an ounce of gold.	Er verkaufte nur eine Unze Gold.	Vendió más que una onza de oro.	Il a vendu seulement une once d'or.	Li vendis nur onza de oro.	Ele vendeu apenas uma onça de ouro.	Sprzedał jedynie uncję złota.	Он продал лишь одну унцию золота.	Hij verkocht slechts een ounce goud.	Ha venduto solo un'oncia d'oro.
Once upon a time in the west.	Es war einmal im Westen.	Érase una vez en el Oeste.	Il était une fois dans l'Ouest.	Iam en la okcidento.	Era uma vez no Oeste.	Pewnego razu na Dzikim Zachodzie.	Однажды на Диком Западе.	Er was eens een tijd in het Westen.	C'era una volta nel West.
The hall was crowded with people.	Die Halle war voll mit Menschen.	La sala estaba llena de gente.	La salle était bondée de gens.	La halo estis plena de homoj.	O salão estava lotado de pessoas.	Sala była przepełniona ludźmi.	Зал был переполнен людьми.	De zaal was vol met mensen.	La sala era affollata di gente.
She was standing to the left of him.	Sie war nach links von ihm steht.	Estaba de pie a la izquierda de él.	Elle se tenait à la gauche de lui.	Ŝi staris maldekstre de li.	Ela estava em pé à esquerda dele.	Stała na lewo od niego.	Она стояла слева от него.	Ze stond aan de linkerkant van hem.	Era in piedi alla sua sinistra.
Her pigtails hopped up and down as she rode away.	Ihre Zöpfe hüpften auf und ab, als sie weg fuhr.	Sus trenzas saltaron arriba y abajo mientras se alejaba.	Ses tresses sautaient haut et en bas comme elle partit.	Ŝia plektas saltetis tien kaj reen dum ŝi forrajdis.	Suas tranças pulou cima e para baixo quando ela partiu.	Jej warkocze skakał w górę iw dół, jak ona odjechała.	Ее косички прыгали вверх и вниз, как она ускакал.	Haar vlechten sprong op en neer toen ze wegreed.	Le treccine saltò su e giù come lei se ne andò.
The waitresses obviously had fun.	Die Bedienungen hatten offensichtlich Spaß.	Las camareras, obviamente, se divirtieron.	Les serveuses ont évidemment eu du plaisir.	La kelnerinoj evidente havis amuzo.	As garçonetes, obviamente, tinha divertido.	Kelnerki oczywiście dobrze się bawili.	Официантки, очевидно, было весело.	De serveersters had duidelijk plezier.	Le cameriere avevano ovviamente divertente.
If you need to create sentences, Houston Airport is very inspiring.	Wenn Sie Sätze erstellen müssen, ist Houston Flughafen sehr inspirierend.	Si necesita crear oraciones, el aeropuerto de Houston es muy inspirador.	Si vous avez besoin pour créer des phrases, l'aéroport de Houston est très inspirant.	Se vi devas krei frazojn, Houston Flughaveno estas tre inspira.	Se você precisa criar frases, Houston Airport é muito inspirador.	Jeśli trzeba utworzyć zdania, Houston Airport jest bardzo inspirujące.	Если вам необходимо создать предложения, Аэропорт Хьюстон очень вдохновляет.	Als u nodig hebt om zinnen te maken, Houston Airport is zeer inspirerend.	Se avete bisogno di creare frasi, Houston Airport è molto stimolante.
The indirect light on the ceiling gave a cosy atmosphere.	Das indirekte Licht an der Decke gab eine gemütliche Atmosphäre.	La luz indirecta en el techo dio un ambiente acogedor.	La lumière indirecte au plafond a une atmosphère chaleureuse.	La nerekta lumo sur la plafono donis komforta atmosfero.	A luz indireta no teto deu uma atmosfera acolhedora.	Światło pośrednie na suficie dał przytulną atmosferę.	Отраженный свет на потолке дал уютную атмосферу.	Het indirecte licht op het plafond gaf een gezellige sfeer.	La luce indiretta sul soffitto ha dato un'atmosfera accogliente.
The Winchester Model 1873 Rifle is oft-termed as the Gun That Won The West. 	Das Winchester Model 1873 Gewehr wird oft bezeichnet als Gun Des Won The West.	El rifle Winchester Modelo 1873 es frecuentemente denominado como el arma que ganó el Oeste.	Le Winchester modèle 1873 Fusil est souvent appelé comme l'arme qui conquête de l'Ouest.	La Winchester Modelo 1873 Fusilo estas ofte-nomita kiel la Kanono Tio Ŭon La Okcidento.	O Winchester Modelo 1873 Rifle é frequentemente denominado como a arma que ganhou o Ocidente.	Winchester model 1873 Rifle jest często określany jako Gun, który zdobył na Zachodzie.	Winchester Model 1873 Винтовки часто называют как пистолет, который выиграл Запад.	The Winchester Model 1873 Rifle is oft-genoemd als de Gun Dat Heeft The West.	Il modello Winchester 1873 Fucile è spesso definito come la pistola che ha vinto l'Occidente.
Her red carpet had two white stripes on each corner.	Ihr roter Teppich hatte zwei weißen Streifen an jeder Ecke.	Su alfombra roja tenía dos rayas blancas en cada esquina.	Son tapis rouge avait deux bandes blanches sur chaque coin.	Ŝia ruĝa tapiŝo havis du blankajn striojn sur ĉiu angulo.	Seu tapete vermelho tinha duas listras brancas em cada canto.	Jej czerwony dywan miał dwa białe paski na każdym rogu.	Ее красный ковер были две белые полосы на каждом углу.	Haar rode tapijt had twee witte strepen op elke hoek.	Il suo tappeto rosso ha avuto due strisce bianche su ogni angolo.
The Henry rifle was unsuitable for large game.	Das Henry-Gewehr war nicht geeignet für großes Spiel.	El rifle Henry no era apto para la caza mayor.	Le fusil Henry ne convenait pas pour le gros gibier.	La Henry fusilo estis netaŭga por granda ludo.	O rifle Henry era inadequado para o jogo grande.	Henry karabin był nieodpowiedni dla dużej grze.	Винтовка Генри была непригодна для большой игры.	De Henry geweer was niet geschikt voor groot wild.	Il fucile Henry era inadatto per gioco di grandi dimensioni.
